id,name,price,amount,description,image,manufacturer_id,category_id
NULL,"XPS 15 9570",2100,10,"15.6" 1920 x 1080 IPS",xps15-9570.png,2,1
NULL,"XPS 13 9360",1600,5,"13.3" 1920 x 1080 IPS",xps13-9360.png,2,1
NULL,G3,800,7,"up to 9th Gen Intel® i7 processor",g3.png,2,1
NULL,"Alienware 15",2000,5,"Intel® 6-Core™ CPU",alienware15.png,2,1
NULL,"Inspirion Chromebook 11",200,15,"The 11.6" LED backlit display",inspirion11.png,2,1
NULL,"XPS Tower",600,6,"1TB 7200RPM 3.5" SATA HDD",xpstower.png,2,2
NULL,"Alienware Aurora",900,11," up to 18-core Intel® 9th Gen processor",aplienwareaurora.png,2,2
NULL,"Alienware  Area",1900,4,"the latest NVIDIA® GeForce RTX™",alienwarearea.png,2,2
NULL,"Wireless Keyboard",100,17,"and Mouse - KM717",dellkeyboard.png,2,4
NULL,"Sculpt Comfort ",70,17,"and wireless mouser 2.4 GHz",microsoftkeyboard.png,12,4
NULL,"Galaxy Tab A",100,25,"Bring the cinematic experience",galaxytaba.png,4,3
NULL,"Macbook Pro 13",2000,6,"Intel Iris Plus Graphics 655",macbookpro13.png,1,1
NULL,"Macbook Pro 15",3000,4,"AMD Radeon Pro 560X, 4 GB GDDR5",macbookpro15.png,1,1
NULL,"Macbook Air 11",1600,7,"Intel HD Graphics 5000",macbookair11.png,1,1
NULL,"Ipad Air 2",250,9,"9.7" IPS (2048x1536)",ipadair2.png,1,3
NULL,"Ipad Pro 12,9",2500,9,"Apple A12X Bionic",ipadpro.png,1,3
NULL,"Ipad mini 4",500,15,"7.9" IPS (2048x1536)",ipadmini4.png,1,3
NULL,"Nightblade B85C",1800,3,"350W 80+ Bronze",nightblade.png,9,2
NULL,"MSI GS75 Stealth",3000,4,"Nvidia RTX 2080 8Gb",msigs375.ong,9,1
NULL,"MSI GF63",1000,6,"Intel Core i7-8750H 2.20GHz",msigf63.png,9,1
NULL,"Sony WH1000XM3",300,14,"Built in microphone",sonywh1000.png,10,4
NULL,"Sony MDR-RF912RK",80,12,"Noise Reduction",sonymdr.png,10,4
NULL,"HP K1500",15,29,"with indicator lights and built-in number pad",hpk1500.png,11,4
NULL,"HP X3000",11,30,"No more pulling. No more tugging.",hpx3000.png,11,4
NULL,"Lenovo Tab 4",80,11,"Quad-Core Processor",lenovotab4.png,7,3
NULL,"Huawei Ideos S7",60,3,"7.0" TN+Film (800x480)",huaweiideos.png,5,3
